amount,duration,payments,status,loan_year,owner_age_at_loan,owner_age_at_account_creation,has_disponent,has_junior_card,has_classic_card,has_gold_card,min_balance,max_balance,mean_balance,std_balance,recent_balance,total_credit,min_credit,max_credit,mean_credit,std_credit,total_withdrawal,min_withdrawal,max_withdrawal,mean_withdrawal,std_withdrawal,total_credit_times,total_withdrawal_times,interest_credit,payment_for_statement,household,old-age_pension,insurrance_payment,sanction_interest_if_negative_balance,credit_in_cash,collection_from_another_bank,withdrawal_in_cash,remittance_to_another_bank,credit_card_withdrawal,months_until_bankrupt,months_until_bankrupt_loan_duration_diff,sex,frequency,no. of inhabitants,no. of municipalities with inhabitants < 499 ,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,average salary ,unemploymant rate 1995 ,unemploymant rate 1996 ,no. of enterpreneurs per 1000 inhabitants ,no. of commited crimes 1995 ,no. of commited crimes 1996 
111384,24,4641,1,1994,27,26,0,0,0,0,500.0,141386.0,65097.22434210526,26199.253728089574,52318.9,1054061.2000000002,29.0,49388.0,19164.749090909096,16665.592313428537,942954.3999999998,14.6,61700.0,10139.294623655911,14435.726234368227,55,93,16,14,14,0,0,0,39,0,69,28,0,11,-13,male,monthly issuance,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
276660,36,7685,-1,1994,45,44,0,0,0,0,500.0,32720.4,19256.89482758621,5977.135266780152,19783.2,111370.99999999999,9.5,11600.0,3712.3666666666663,3290.399383492662,91587.6,14.6,9800.0,3270.9857142857145,2721.952737559968,30,28,10,6,7,0,0,0,20,0,28,0,0,2,-34,male,monthly issuance,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
39576,12,3298,1,1994,14,12,0,0,0,0,300.0,103467.2,48944.827826086956,26779.655961239612,23901.1,487779.39999999997,21.3,49603.0,9203.384905660376,14886.13811505613,463878.1999999999,14.6,38400.0,7481.906451612902,8909.557234914451,53,62,32,12,12,0,0,0,21,0,39,23,0,7,-5,female,monthly issuance,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340,4505
173808,24,7242,1,1994,37,36,1,0,0,0,1000.0,134416.6,61218.6586666667,24800.383006709624,94431.9,1399175.8,43.3,74522.0,26907.226923076923,27340.571979253407,1081400.0,100.0,38200.0,12873.809523809523,11685.17700670403,52,84,24,16,0,0,0,0,2,26,98,0,0,13,-11,female,issuance after transaction,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
50460,60,841,1,1994,46,46,0,0,0,0,800.0,51971.4,37570.627906976755,10249.819915543963,41531.0,158214.4,32.6,22927.5,8327.073684210525,8529.642488271624,116683.40000000002,14.6,15000.0,4861.808333333334,4357.375601390959,19,24,8,4,5,0,0,0,11,0,19,5,0,49,-11,female,monthly issuance,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
252060,60,4201,-1,1994,28,28,0,0,0,0,900.0,106259.6,57340.50819672131,21242.623501164537,70096.5,389614.5,8.2,49937.0,14985.173076923076,12678.430558616463,255188.00000000003,14.6,41700.0,8799.586206896553,10829.688259012628,26,29,7,5,5,0,0,0,19,0,25,10,0,16,-44,female,monthly issuance,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
143904,24,5996,1,1994,43,41,0,0,0,0,700.0,134571.2,49727.45611510793,23332.178929406262,38336.2,658169.3,6.7,46108.0,14003.602127659575,15855.056474204319,497910.9999999998,14.6,60500.0,5998.927710843372,9912.983214777527,47,83,17,15,16,0,0,0,30,0,60,32,0,6,-18,male,monthly issuance,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
208128,48,4336,-1,1994,42,41,0,0,0,0,-1069.7,96064.0,36369.97499999999,22633.264568578037,81474.6,342886.4,30.9,47493.0,11823.668965517241,15384.879486312113,240416.80000000005,14.6,36500.0,7071.082352941178,9214.829342279521,29,34,13,8,0,0,0,0,16,0,35,0,0,18,-30,male,monthly issuance,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696
131292,36,3647,1,1994,40,39,0,0,0,0,1000.0,70288.4,36635.11566265061,12418.81730798194,31361.3,344177.4,12.1,32823.0,11868.186206896553,12346.222228534585,307590.0,30.0,24000.0,5803.584905660377,5268.48382985395,29,53,13,9,10,0,0,0,2,14,44,10,0,8,-28,male,weekly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
74736,36,2076,1,1994,28,27,0,0,0,0,700.0,62084.0,37912.998507462675,10526.243637696547,33243.7,291052.70000000007,16.5,30918.0,11194.334615384618,11313.514226627794,257808.80000000005,14.6,20000.0,6288.019512195123,5727.134788825506,26,41,12,8,8,0,0,0,14,0,33,8,0,16,-20,male,monthly issuance,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
299088,36,8308,-1,1994,27,26,0,0,0,0,500.0,193909.9,51992.854761904746,33721.08239115243,19448.5,812759.2999999999,46.2,47189.0,17668.680434782607,16515.151823567558,705100.5999999997,14.6,59400.0,9793.063888888886,12982.639327229199,46,72,13,11,12,0,0,0,33,0,56,24,0,2,-34,female,monthly issuance,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
189300,60,3155,1,1994,40,39,0,0,0,0,800.0,61043.3,32354.031372549012,12189.882256963092,24530.0,273115.4,43.8,28413.0,6502.74761904762,9506.458059837361,248563.40000000005,14.6,24960.0,4142.723333333334,5081.070772070478,42,60,26,9,9,0,0,0,16,0,42,18,0,7,-53,male,monthly issuance,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471
14628,12,1219,1,1994,45,44,0,0,0,0,200.0,52184.7,32788.14215686272,8971.464367872568,34910.100000000006,226196.2,49.4,23230.5,7799.868965517242,8297.6737206198,191293.40000000005,2.0,14100.0,2620.457534246576,3442.709770487936,29,73,13,9,8,0,8,0,16,0,40,33,0,28,16,female,monthly issuance,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
120888,36,3358,1,1994,50,48,0,0,0,0,600.0,116468.4,40838.75520833332,21444.892157588434,52014.4,472459.6,85.0,48618.0,13123.877777777778,15893.278321774746,366490.0,30.0,49200.0,6544.464285714285,9631.71702902945,36,56,15,13,12,0,0,0,21,0,48,12,0,15,-21,female,weekly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
172080,48,3585,1,1994,37,36,0,0,0,0,200.0,119138.8,60743.95714285715,20857.484648032827,58174.93333333333,267848.9,19.3,45518.0,10713.956,13655.419664121055,197558.40000000002,14.6,40100.0,12347.400000000001,12005.67122363427,25,16,13,4,0,0,0,0,12,0,17,0,0,16,-32,female,monthly issuance,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316
323472,48,6739,1,1994,53,52,0,0,0,0,200.0,119934.1,45414.07368421048,26282.798531222208,77513.75,388617.3,52.9,44802.0,13879.189285714285,15219.126586830029,243227.60000000003,14.6,33900.0,9729.104000000001,10461.864045932922,28,25,9,6,5,0,0,0,19,0,24,5,0,11,-37,female,monthly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
74688,12,6224,1,1994,49,48,1,0,0,0,1100.0,104902.4,48484.62410714284,20837.001019765834,28933.3,1322700.8,96.1,56019.0,13496.94693877551,19494.827768359504,1179214.4,14.6,38400.0,9993.342372881356,9096.045140612978,98,118,64,24,24,0,0,0,2,32,102,24,0,4,-8,female,monthly issuance,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198
45768,12,3814,1,1994,17,16,0,0,0,0,800.0,78327.5,32555.81851851852,14093.177432624441,54427.5,103427.59999999999,24.2,36574.0,4701.254545454545,8779.87313517411,49000.0,1000.0,23900.0,9800.0,7931.456360593557,22,5,12,0,0,0,0,0,10,0,5,0,0,14,2,female,weekly issuance,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208
224604,36,6239,1,1994,18,16,1,0,0,0,200.0,109178.4,57496.98924731189,21120.381559162597,40287.4,1392303.0,32.7,56152.0,20475.04411764706,20881.69879510583,1170550.4,14.6,40000.0,11705.503999999999,11223.485522081988,68,100,32,24,0,0,0,0,2,34,118,0,0,6,-30,male,monthly issuance,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
79632,24,3318,1,1994,35,34,0,0,0,0,900.0,119373.5,63494.200000000004,28138.712257471023,94504.5,244462.5,112.5,66165.0,24446.25,24870.55557229271,154716.0,9516.0,64300.0,25786.0,18642.10056118498,10,6,4,0,1,0,0,0,1,5,5,1,0,28,4,female,monthly issuance,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
121896,24,5079,1,1994,29,28,0,0,0,0,600.0,133454.9,54422.59677419359,21792.709027120567,41917.2,636169.6000000001,17.7,49558.0,16312.041025641029,17316.78950966104,498931.3999999999,14.6,64900.0,10615.561702127658,12478.769081934139,39,47,15,9,0,0,0,0,24,0,54,0,0,8,-16,male,monthly issuance,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
82896,12,6908,1,1994,22,21,1,0,1,0,900.0,107680.9,57141.730952380916,24587.76624569485,58890.86666666666,1404599.1999999997,130.5,62168.0,20655.87058823529,22892.342569174285,1128793.1999999997,14.6,38600.0,6799.959036144576,8581.606880886646,68,166,30,22,22,0,22,0,8,30,114,66,4,8,-4,male,monthly issuance,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123
23628,12,1969,1,1994,40,39,0,0,0,0,1000.0,140228.7,47420.84181818185,27822.874215669708,64096.3,577410.2,1.7,43694.0,11783.88163265306,12943.179207309147,493225.79999999993,14.6,35200.0,8359.759322033897,9281.983550855135,49,59,18,13,12,0,0,0,31,0,49,12,0,32,20,male,monthly issuance,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
209184,48,4358,1,1994,41,40,0,0,0,0,1000.0,110583.8,46230.339705882405,19260.134949584794,44254.7,513026.6000000001,70.1,54645.0,19731.79230769231,20047.217544911757,417416.79999999993,14.6,61800.0,10984.652631578945,12131.877490287114,26,38,12,8,0,0,0,0,1,13,42,0,0,10,-38,male,monthly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
41904,12,3492,1,1994,20,18,0,0,0,0,900.0,129123.0,36080.386713286716,20232.700204186312,39204.7,500146.7999999999,0.8,48546.0,7938.838095238093,14023.860961871873,397353.9999999999,14.6,51700.0,5228.342105263157,7608.850165142928,63,76,37,15,15,0,0,0,26,0,50,30,0,11,-1,male,monthly issuance,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
87816,12,7318,1,1994,33,32,1,0,0,0,800.0,43442.2,25533.214285714297,6855.578569140102,15665.6,396933.20000000007,54.5,14886.0,4840.648780487806,4746.445838736548,365601.9999999999,14.6,10300.0,4251.186046511627,3146.421171528457,82,86,28,20,22,0,0,0,54,0,64,22,0,2,-10,male,monthly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
23052,12,1921,1,1994,53,52,1,0,0,0,700.0,54321.8,23771.966081871313,8885.922613039766,28531.7,647265.6,34.7,20812.0,6742.349999999999,7180.624560521645,590201.9999999997,14.6,24000.0,2399.195121951218,3063.1716807366934,96,246,38,30,30,0,30,0,58,0,124,122,0,14,2,female,monthly issuance,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696
189696,24,7904,-1,1994,24,24,0,0,0,0,600.0,22500.0,14900.0,7950.597461826375,22500.0,22500.0,600.0,11500.0,4500.0,4135.214625627066,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,5,0,0,0,0,2,-22,female,monthly issuance,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
230220,36,6395,-1,1994,51,50,0,0,0,0,-2719.7,130801.0,27658.487804878067,29343.910382878214,6325.5,297905.80000000005,4.9,47953.0,7839.626315789475,12733.644240868038,268241.1000000001,6.8,59800.0,6386.69285714286,11168.050376097173,38,42,21,10,9,0,0,3,17,0,25,19,0,0,-36,female,monthly issuance,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
71460,12,5955,1,1994,49,48,1,0,0,0,200.0,82549.0,47991.53023255814,19010.742567278074,70764.0,525359.0,35.9,48487.0,13133.975,14828.460535432361,360260.79999999993,14.6,24300.0,8187.745454545453,6035.32888617493,40,44,16,8,8,0,0,0,24,0,38,8,0,11,-1,male,monthly issuance,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
141240,24,5885,1,1994,32,31,0,0,0,0,1000.0,107784.1,57219.574509803846,19380.586807647545,45871.6,499448.5,105.9,52968.0,18498.09259259259,19332.766136410235,388334.79999999993,14.6,43500.0,5547.639999999999,7317.061806302934,27,70,12,8,8,0,9,0,2,13,41,34,0,7,-17,male,monthly issuance,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
11736,24,489,1,1994,56,54,0,0,0,0,1100.0,70826.8,42224.43909774438,11658.960368577696,26984.4,414676.4,34.8,33098.0,11518.78888888889,12173.406461805216,387691.79999999993,14.6,22500.0,3996.8226804123706,4899.150708883283,36,97,17,13,13,0,13,0,19,0,59,38,0,55,31,male,monthly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
192744,36,5354,1,1994,23,21,1,0,0,0,700.0,121508.1,37265.655263157874,16805.49613951838,29026.4,609956.1999999998,8.8,41064.0,9241.760606060603,13031.470290007848,486491.9999999998,14.6,47700.0,6237.076923076921,8515.819544957958,66,78,28,20,0,0,0,0,38,0,86,0,0,5,-31,female,monthly issuance,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
227880,36,6330,1,1994,38,37,1,0,0,0,1100.0,153213.7,45134.72168674697,29372.922609589383,53716.6,730730.6,24.3,49115.0,8119.228888888889,12909.126076671017,596921.1999999998,14.6,64600.0,8290.57222222222,12710.060740492398,90,72,48,22,0,0,0,0,42,0,76,0,0,8,-28,female,monthly issuance,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265
17508,12,1459,1,1994,48,47,0,0,0,0,900.0,54432.3,39290.618055555555,9259.232116909743,48027.0,198353.1,36.7,17580.0,6398.487096774194,6212.924769031085,150326.00000000003,14.6,13300.0,3666.4878048780497,4120.16719363545,31,41,14,10,0,0,0,0,17,0,41,0,0,32,20,male,monthly issuance,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868
98184,24,4091,1,1994,49,49,0,0,0,0,500.0,68956.1,41660.392857142855,18957.04074945184,68956.1,99656.2,74.1,24545.0,9059.654545454545,11706.308877024281,30700.0,1400.0,18200.0,10233.333333333334,6885.895406957294,11,3,6,0,0,0,0,0,1,4,3,0,0,16,-8,female,monthly issuance,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
170256,24,7094,1,1994,29,28,0,0,0,0,200.0,79869.8,40091.18311688309,13500.852857576174,43302.8,371594.30000000005,83.9,36552.0,11986.912903225808,13140.939197734047,328291.4,14.6,29300.0,7136.769565217392,6385.4315955002485,31,46,13,9,10,0,0,0,18,0,36,10,0,6,-18,female,monthly issuance,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
83016,12,6918,1,1994,15,13,0,0,0,0,700.0,136436.6,67891.93520408162,25854.834434802644,84877.13333333335,1348329.2999999996,90.2,48883.0,20124.317910447757,17146.996695482947,1197962.7999999998,14.6,64400.0,9983.023333333333,12286.689917689611,67,120,21,18,18,0,0,0,46,0,93,36,0,12,0,male,monthly issuance,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
61056,48,1272,1,1994,37,36,0,0,0,0,900.0,55816.0,36039.05156249998,8993.68292415905,33532.600000000006,197445.49999999997,37.1,24372.0,8584.586956521738,9016.959362479818,163920.20000000004,14.6,13500.0,3998.053658536586,4187.106780378486,23,41,11,7,6,0,0,0,12,0,29,12,0,26,-22,female,monthly issuance,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
123696,48,2577,1,1994,54,53,0,0,0,0,300.0,89822.2,49084.381967213114,20403.134012225237,25194.5,285666.8,59.5,48476.0,12984.854545454546,16910.599801031934,210149.60000000003,14.6,32100.0,5837.48888888889,7450.63426449117,22,36,10,6,6,0,0,0,12,0,27,12,0,9,-39,male,monthly issuance,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
59760,24,2490,1,1994,35,35,1,0,0,0,300.0,69643.1,40204.464814814826,12707.868586564453,41140.399999999994,489071.60000000003,19.5,34557.0,11115.263636363637,12161.494432561449,406805.1999999999,14.6,21440.0,6356.331249999998,6142.009090193814,44,64,20,12,10,0,0,0,24,0,54,10,0,16,-8,male,monthly issuance,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
48672,36,1352,1,1994,46,45,1,0,0,0,300.0,33484.4,23050.189690721625,5395.558512532485,23117.3,176127.0,33.8,12100.0,2590.1029411764707,2748.6139474379033,129906.80000000005,14.6,5880.0,1031.0063492063496,1419.7586685014762,68,126,26,18,18,0,18,0,42,0,54,72,0,17,-19,female,monthly issuance,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
140400,36,3900,1,1994,53,52,0,0,0,0,400.0,115000.2,43563.61999999999,18769.697269275995,28271.8,261444.7,100.9,44739.0,11883.85,17607.117158817287,233173.00000000003,14.6,63200.0,10137.956521739132,13597.751300277432,22,23,13,5,0,0,0,0,9,0,23,0,0,7,-29,male,monthly issuance,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
192552,24,8023,-1,1994,30,29,0,0,0,0,800.0,49563.0,23979.01176470588,12886.796683893886,22240.5,158360.39999999997,10.2,23844.0,6090.784615384614,8119.414899898045,116980.0,30.0,18000.0,5086.086956521739,4843.978547263768,26,23,14,6,0,0,0,0,12,0,25,0,0,2,-22,female,weekly issuance,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542
164052,36,4557,-1,1994,19,18,0,0,0,0,-2564.7,112045.6,41752.16153846152,30373.020405645395,20811.2,394206.7,53.7,48181.0,14078.810714285715,16330.354240478926,280500.4,0.4,41400.0,9350.013333333334,12452.88121969459,28,30,12,10,0,0,0,1,16,0,37,0,0,4,-32,female,issuance after transaction,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
205200,36,5700,1,1994,31,30,0,0,0,0,900.0,93928.5,58336.31162790698,17137.25873129971,54586.0,623544.1000000001,82.4,51303.0,17320.669444444447,18273.18135309867,533531.0,30.0,31200.0,5862.978021978022,5689.79301459794,36,91,17,13,13,0,13,0,2,17,54,39,0,9,-27,female,weekly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
51408,24,2142,1,1994,45,44,0,0,0,0,900.0,137087.2,52299.285937499975,27317.541350098356,49206.100000000006,453745.69999999995,43.8,49907.0,14636.958064516128,15748.920117547317,361816.79999999993,14.6,57700.0,11671.509677419353,15039.09252434178,31,31,12,8,0,0,0,0,19,0,33,0,0,22,-2,male,monthly issuance,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
199680,60,3328,1,1994,45,44,0,0,0,0,500.0,62238.8,33658.61756756758,11828.427714475973,19931.3,282042.6,20.2,29954.0,10072.949999999999,10922.50410327556,223839.40000000005,14.6,21200.0,5329.5095238095255,5128.6000139650805,28,42,13,9,9,0,0,0,2,13,37,9,0,5,-55,male,monthly issuance,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
482940,60,8049,-1,1994,18,17,0,0,0,0,900.0,57707.2,26358.7546153846,9847.383256535417,18439.4,273163.9,7.8,21056.0,4877.926785714286,6868.8207855053015,254724.60000000006,14.6,15800.0,3442.224324324325,3236.729039240446,56,74,30,11,11,0,11,0,26,0,40,34,0,2,-58,female,monthly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
36684,12,3057,1,1994,16,14,0,0,0,0,700.0,50774.2,30229.797600000005,7905.540148604284,35093.0,315586.8,8.3,18552.0,6311.736,6522.328531337868,280493.6000000001,14.6,24480.0,3739.914666666668,3558.0115832936176,50,75,20,16,16,0,0,0,30,0,75,0,0,11,-1,female,monthly issuance,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
398640,60,6644,1,1994,34,33,0,0,0,0,400.0,121689.5,63383.57558139535,21819.904018024437,59316.9,741435.7999999999,32.1,59793.0,21806.935294117644,22231.340180327865,663060.0,30.0,48100.0,13001.176470588236,13458.928612643378,34,51,16,12,0,0,0,0,1,17,52,0,0,8,-52,female,weekly issuance,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
100980,60,1683,1,1994,29,28,0,0,0,0,600.0,53376.7,35614.74428571429,9507.679321304073,47887.7,207705.59999999998,75.7,20922.0,7692.799999999999,7868.50572025144,160567.80000000005,14.6,22900.0,3734.134883720931,4221.106906239098,27,43,12,8,9,0,0,0,15,0,34,9,0,28,-32,male,monthly issuance,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696
31248,12,2604,1,1994,55,54,0,0,0,0,1000.0,144715.3,64493.09916666662,28873.562744693445,53922.3,857688.8,128.0,47033.0,16817.427450980394,16660.097547605084,689575.1999999998,14.6,64100.0,11304.511475409834,14527.876987929987,51,61,18,12,0,0,0,0,33,0,69,0,0,20,8,female,monthly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
115992,36,3222,1,1994,57,55,0,0,0,0,200.0,107692.0,25666.40708661417,17521.662954058305,13690.5,399447.50000000006,5.4,46194.0,8683.641304347828,11835.167462116344,326928.0,30.0,60600.0,4245.818181818182,7540.0328235312845,46,77,20,16,16,0,0,0,26,0,49,32,0,4,-32,male,weekly issuance,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
76380,12,6365,1,1995,37,36,0,0,0,0,1100.0,41703.3,26122.848888888897,8197.153945245529,23163.9,91939.19999999998,36.1,12861.0,4596.959999999999,4593.104472837516,68782.4,14.6,8700.0,2751.296,2363.224159064053,20,25,8,4,4,0,4,0,12,0,13,12,0,3,-9,female,monthly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
288468,36,8013,1,1995,36,35,0,0,0,0,600.0,71939.2,36999.52352941177,15721.859474462313,48752.95,95840.50000000001,6.4,30950.0,6845.750000000001,10633.494956084356,47000.0,10700.0,23300.0,15666.666666666666,5478.6454124678985,14,3,8,0,0,0,0,0,6,0,3,0,0,6,-30,female,monthly issuance,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
177744,48,3703,-1,1995,22,21,0,0,0,0,-2485.5,89733.5,26746.5252631579,21035.485830467114,14230.7,326642.5,10.0,45056.0,9073.402777777777,10955.785603417393,233326.90000000008,3.3,26000.0,4242.307272727274,4966.302738506038,36,55,15,14,0,0,0,2,21,0,59,0,0,3,-45,male,monthly issuance,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
270648,36,7518,-1,1995,57,56,0,0,0,0,200.0,134501.4,60819.976388888885,29510.252540630747,50996.5,492006.6,105.9,47433.0,13666.849999999999,17906.920007228426,441010.0,30.0,52700.0,12250.277777777777,13319.879980713687,36,36,20,7,6,0,0,0,16,0,36,0,0,6,-30,male,weekly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
48624,24,2026,1,1995,33,31,0,0,0,0,200.0,134187.4,63857.2367521368,25715.254426389576,47993.6,736572.9999999999,21.1,41561.0,15032.102040816324,14746.013349701936,662243.1999999997,14.6,52900.0,10188.356923076919,12757.4272897365,49,65,17,12,12,0,0,0,32,0,56,12,0,23,-1,male,monthly issuance,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
76416,24,3184,1,1995,57,55,1,0,0,0,8686.4,64494.1,31375.16078431371,11951.623256475943,12262.9,1010945.6000000001,48.8,28659.0,8867.943859649124,9914.415899013045,896749.5999999994,14.6,21400.0,5037.919101123593,4261.254063841,114,178,44,36,36,0,0,0,26,44,120,72,0,3,-21,male,monthly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
137880,60,2298,-1,1995,31,30,0,0,0,0,200.0,52658.4,24523.07303370786,11660.997545151824,19966.8,278052.9,30.5,20684.0,7317.181578947369,7194.946180913351,199930.0,30.0,14800.0,4543.863636363636,4386.381930013666,38,44,15,11,0,0,0,0,7,16,51,0,0,8,-52,male,weekly issuance,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208
347952,48,7249,1,1995,30,28,0,0,0,0,300.0,123013.2,54157.19416666667,23324.230555784314,57546.3,835259.0,111.1,49271.0,16705.18,17204.575554590123,665504.3999999998,14.6,54600.0,11279.735593220335,11189.083145149656,50,59,19,14,0,0,0,0,31,0,70,0,0,7,-41,female,monthly issuance,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
68112,12,5676,1,1995,17,15,0,0,0,0,300.0,111588.8,47220.13401360543,19465.91815181418,39416.1,747246.1,113.6,57164.0,20195.84054054054,21115.718312214456,575036.7999999998,14.6,42100.0,5693.433663366335,7296.166628995989,37,101,17,13,13,0,14,0,2,18,69,41,0,6,-6,female,monthly issuance,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620
95808,12,7984,1,1995,54,53,0,0,0,0,900.0,122452.2,59701.78666666667,24568.183401601167,72500.4,758891.5,109.8,49008.0,18972.2875,16653.32356945885,633645.9999999999,14.6,57700.0,13774.913043478258,13321.357142355191,40,46,13,10,0,0,0,0,27,0,50,0,0,9,-3,male,monthly issuance,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
20832,48,434,1,1995,46,45,0,0,0,0,500.0,41997.9,21368.909933774863,5904.126977052543,17879.8,197615.9,26.0,13251.0,4204.593617021276,4519.690292882498,179743.40000000005,14.6,19700.0,1728.3019230769237,2488.9380948501516,47,104,18,14,13,0,13,0,29,0,52,52,0,41,-7,male,monthly issuance,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
316140,60,5269,-1,1995,26,25,0,0,0,0,800.0,39616.2,18632.933812949643,6876.391301507398,12819.099999999999,275514.7,16.7,13352.0,4591.911666666667,4435.398062973667,262702.80000000005,14.6,9500.0,3325.3518987341777,2630.8755391497325,60,79,22,18,18,0,0,0,38,0,79,0,0,2,-58,male,monthly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
43164,12,3597,1,1995,19,18,0,0,0,0,800.0,120071.4,68377.06376811591,22129.530761313796,31349.9,505169.89999999997,111.0,57680.0,19429.611538461537,21147.495552907712,415216.79999999993,14.6,43700.0,10380.419999999998,11373.947127343261,26,40,12,8,0,0,0,0,2,12,43,0,0,8,-4,female,monthly issuance,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
221280,48,4610,1,1995,26,25,1,0,0,0,1100.0,106144.8,37596.932394366195,18258.572113176022,31329.7,875611.2,69.5,50178.0,17512.224,18504.686092561096,721108.0,30.0,32300.0,8794.0,8189.38002358736,50,82,24,16,14,0,0,0,2,24,78,14,0,6,-42,male,weekly issuance,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
151728,48,3161,-1,1995,18,17,0,0,0,0,-669.7,82784.6,30491.098245614015,23788.666030338467,26488.7,249499.7,9.8,48906.0,8910.703571428572,13320.567922080985,113685.20000000001,0.8,27000.0,5413.580952380953,7727.801026388212,28,21,14,5,0,0,0,5,14,0,29,0,0,8,-40,male,monthly issuance,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
